Entity,Code,Day,p_proj_all_ages
Australia,AUS,2021-12-05,6.53
Australia,AUS,2021-12-12,4.79
Australia,AUS,2021-12-19,4.98
Australia,AUS,2021-12-26,9.86
Australia,AUS,2022-01-02,6.67
Australia,AUS,2022-01-09,10.03
Australia,AUS,2022-01-16,23.76
Australia,AUS,2022-01-23,30.09
Australia,AUS,2022-01-30,27.0
Australia,AUS,2022-02-06,26.82
Australia,AUS,2022-02-13,19.34
Australia,AUS,2022-02-20,14.83
Australia,AUS,2022-02-27,12.46
Australia,AUS,2022-03-06,12.46
Australia,AUS,2022-03-13,5.51
Australia,AUS,2022-03-20,12.28
Australia,AUS,2022-03-27,10.83
Australia,AUS,2022-04-03,12.58
Austria,AUT,2020-02-16,-6.44
Austria,AUT,2020-02-23,-6.69
Austria,AUT,2020-03-01,-4.02
Austria,AUT,2020-03-08,-2.19
Austria,AUT,2020-03-15,-0.96
Austria,AUT,2020-03-22,13.03
Austria,AUT,2020-03-29,5.47
Austria,AUT,2020-04-05,13.49
Austria,AUT,2020-04-12,14.6
Austria,AUT,2020-04-19,9.62
Austria,AUT,2020-04-26,6.08
Austria,AUT,2020-05-03,-0.8
Austria,AUT,2020-05-10,3.94
Austria,AUT,2020-05-17,-0.15
Austria,AUT,2020-05-24,2.51
Austria,AUT,2020-05-31,-1.65
Austria,AUT,2020-06-07,3.59
Austria,AUT,2020-06-14,-0.38
Austria,AUT,2020-06-21,-1.46
Austria,AUT,2020-06-28,0.99
Austria,AUT,2020-07-05,6.85
Austria,AUT,2020-07-12,-1.33
Austria,AUT,2020-07-19,-3.36
Austria,AUT,2020-07-26,-4.18
Austria,AUT,2020-08-02,-0.13
Austria,AUT,2020-08-09,-1.27
Austria,AUT,2020-08-16,8.33
Austria,AUT,2020-08-23,0.96
Austria,AUT,2020-08-30,2.9
Austria,AUT,2020-09-06,8.71
Austria,AUT,2020-09-13,8.17
Austria,AUT,2020-09-20,8.17
Austria,AUT,2020-09-27,2.7
Austria,AUT,2020-10-04,2.84
Austria,AUT,2020-10-11,5.32
Austria,AUT,2020-10-18,5.75
Austria,AUT,2020-10-25,15.95
Austria,AUT,2020-11-01,23.09
Austria,AUT,2020-11-08,31.1
Austria,AUT,2020-11-15,45.27
Austria,AUT,2020-11-22,54.19
Austria,AUT,2020-11-29,55.1
Austria,AUT,2020-12-06,56.82
Austria,AUT,2020-12-13,52.4
Austria,AUT,2020-12-20,34.8
Austria,AUT,2020-12-27,21.01
Austria,AUT,2021-01-03,14.0
Austria,AUT,2021-01-10,6.45
Austria,AUT,2021-01-17,3.79
Austria,AUT,2021-01-24,10.54
Austria,AUT,2021-01-31,9.44
Austria,AUT,2021-02-07,0.86
Austria,AUT,2021-02-14,-6.41
Austria,AUT,2021-02-21,-6.71
Austria,AUT,2021-02-28,-10.1
Austria,AUT,2021-03-07,-14.24
Austria,AUT,2021-03-14,-1.81
Austria,AUT,2021-03-21,-2.65
Austria,AUT,2021-03-28,1.56
Austria,AUT,2021-04-04,5.84
Austria,AUT,2021-04-11,3.17
Austria,AUT,2021-04-18,7.77
Austria,AUT,2021-04-25,9.04
Austria,AUT,2021-05-02,13.05
Austria,AUT,2021-05-09,11.19
Austria,AUT,2021-05-16,9.28
Austria,AUT,2021-05-23,2.11
Austria,AUT,2021-05-30,2.68
Austria,AUT,2021-06-06,11.25
Austria,AUT,2021-06-13,8.28
Austria,AUT,2021-06-20,8.78
Austria,AUT,2021-06-27,15.27
Austria,AUT,2021-07-04,5.51
Austria,AUT,2021-07-11,0.56
Austria,AUT,2021-07-18,3.64
Austria,AUT,2021-07-25,5.26
Austria,AUT,2021-08-01,1.03
Austria,AUT,2021-08-08,-4.93
Austria,AUT,2021-08-15,11.65
Austria,AUT,2021-08-22,9.07
Austria,AUT,2021-08-29,7.37
Austria,AUT,2021-09-05,6.17
Austria,AUT,2021-09-12,15.98
Austria,AUT,2021-09-19,8.94
Austria,AUT,2021-09-26,8.86
Austria,AUT,2021-10-03,11.88
Austria,AUT,2021-10-10,4.17
Austria,AUT,2021-10-17,5.66
Austria,AUT,2021-10-24,12.42
Austria,AUT,2021-10-31,22.96
Austria,AUT,2021-11-07,26.28
Austria,AUT,2021-11-14,33.68
Austria,AUT,2021-11-21,33.78
Austria,AUT,2021-11-28,37.63
Austria,AUT,2021-12-05,40.03
Austria,AUT,2021-12-12,30.17
Austria,AUT,2021-12-19,18.23
Austria,AUT,2021-12-26,10.53
Austria,AUT,2022-01-02,5.86
Austria,AUT,2022-01-09,-4.62
Austria,AUT,2022-01-16,-11.12
Austria,AUT,2022-01-23,-0.13
Austria,AUT,2022-01-30,-0.73
Austria,AUT,2022-02-06,-3.17
Austria,AUT,2022-02-13,-0.58
Austria,AUT,2022-02-20,3.86
Austria,AUT,2022-02-27,-0.38
Austria,AUT,2022-03-06,5.92
Austria,AUT,2022-03-13,3.49
Austria,AUT,2022-03-20,10.01
Austria,AUT,2022-03-27,22.7
Austria,AUT,2022-04-03,16.4
Belgium,BEL,2020-02-16,-8.4
Belgium,BEL,2020-02-23,-7.32
Belgium,BEL,2020-03-01,-11.45
Belgium,BEL,2020-03-08,-9.63
Belgium,BEL,2020-03-15,-4.51
Belgium,BEL,2020-03-22,10.22
Belgium,BEL,2020-03-29,43.94
Belgium,BEL,2020-04-05,90.16
Belgium,BEL,2020-04-12,105.35
Belgium,BEL,2020-04-19,80.96
Belgium,BEL,2020-04-26,49.92
Belgium,BEL,2020-05-03,21.02
Belgium,BEL,2020-05-10,18.02
Belgium,BEL,2020-05-17,3.33
Belgium,BEL,2020-05-24,5.95
Belgium,BEL,2020-05-31,2.94
Belgium,BEL,2020-06-07,-3.95
Belgium,BEL,2020-06-14,2.34
Belgium,BEL,2020-06-21,-4.98
Belgium,BEL,2020-06-28,4.02
Belgium,BEL,2020-07-05,-12.39
Belgium,BEL,2020-07-12,-9.41
Belgium,BEL,2020-07-19,-2.14
Belgium,BEL,2020-07-26,-9.08
Belgium,BEL,2020-08-02,3.55
Belgium,BEL,2020-08-09,9.39
Belgium,BEL,2020-08-16,55.78
Belgium,BEL,2020-08-23,16.78
Belgium,BEL,2020-08-30,-1.26
Belgium,BEL,2020-09-06,2.61
Belgium,BEL,2020-09-13,-1.84
Belgium,BEL,2020-09-20,6.73
Belgium,BEL,2020-09-27,0.71
Belgium,BEL,2020-10-04,-2.24
Belgium,BEL,2020-10-11,2.24
Belgium,BEL,2020-10-18,7.86
Belgium,BEL,2020-10-25,32.33
Belgium,BEL,2020-11-01,65.9
Belgium,BEL,2020-11-08,84.31
Belgium,BEL,2020-11-15,68.33
Belgium,BEL,2020-11-22,51.4
Belgium,BEL,2020-11-29,37.82
Belgium,BEL,2020-12-06,25.21
Belgium,BEL,2020-12-13,25.46
Belgium,BEL,2020-12-20,21.57
Belgium,BEL,2020-12-27,17.08
Belgium,BEL,2021-01-03,9.2
Belgium,BEL,2021-01-10,3.46
Belgium,BEL,2021-01-17,-1.18
Belgium,BEL,2021-01-24,0.87
Belgium,BEL,2021-01-31,0.6
Belgium,BEL,2021-02-07,-9.11
Belgium,BEL,2021-02-14,-10.38
Belgium,BEL,2021-02-21,-7.97
Belgium,BEL,2021-02-28,-13.86
Belgium,BEL,2021-03-07,-20.6
Belgium,BEL,2021-03-14,-11.89
Belgium,BEL,2021-03-21,-10.13
Belgium,BEL,2021-03-28,-8.65
Belgium,BEL,2021-04-04,-0.13
Belgium,BEL,2021-04-11,4.37
Belgium,BEL,2021-04-18,3.67
Belgium,BEL,2021-04-25,8.14
Belgium,BEL,2021-05-02,8.68
Belgium,BEL,2021-05-09,12.25
Belgium,BEL,2021-05-16,2.6
Belgium,BEL,2021-05-23,2.67
Belgium,BEL,2021-05-30,1.61
Belgium,BEL,2021-06-06,3.51
Belgium,BEL,2021-06-13,0.37
Belgium,BEL,2021-06-20,5.95
Belgium,BEL,2021-06-27,-7.08
Belgium,BEL,2021-07-04,2.01
Belgium,BEL,2021-07-11,-9.29
Belgium,BEL,2021-07-18,2.75
Belgium,BEL,2021-07-25,5.33
Belgium,BEL,2021-08-01,-4.97
Belgium,BEL,2021-08-08,-0.08
Belgium,BEL,2021-08-15,1.15
Belgium,BEL,2021-08-22,-0.45
Belgium,BEL,2021-08-29,-1.79
Belgium,BEL,2021-09-05,2.78
Belgium,BEL,2021-09-12,9.28
Belgium,BEL,2021-09-19,2.02
Belgium,BEL,2021-09-26,0.49
Belgium,BEL,2021-10-03,2.02
Belgium,BEL,2021-10-10,4.68
Belgium,BEL,2021-10-17,10.33
Belgium,BEL,2021-10-24,16.86
Belgium,BEL,2021-10-31,17.24
Belgium,BEL,2021-11-07,15.15
Belgium,BEL,2021-11-14,19.12
Belgium,BEL,2021-11-21,17.67
Belgium,BEL,2021-11-28,18.45
Belgium,BEL,2021-12-05,30.07
Belgium,BEL,2021-12-12,20.68
Belgium,BEL,2021-12-19,14.45
Belgium,BEL,2021-12-26,8.11
Belgium,BEL,2022-01-02,9.6
Belgium,BEL,2022-01-09,-0.96
Belgium,BEL,2022-01-16,-8.38
Belgium,BEL,2022-01-23,-2.41
Belgium,BEL,2022-01-30,4.73
Belgium,BEL,2022-02-06,5.1
Belgium,BEL,2022-02-13,2.99
Belgium,BEL,2022-02-20,-2.78
Belgium,BEL,2022-02-27,-7.51
Belgium,BEL,2022-03-06,-14.71
Belgium,BEL,2022-03-13,-1.32
Belgium,BEL,2022-03-20,2.18
Belgium,BEL,2022-03-27,3.6
Belgium,BEL,2022-04-03,12.93
Bulgaria,BGR,2020-02-16,0.34
Bulgaria,BGR,2020-02-23,-5.6
Bulgaria,BGR,2020-03-01,-4.86
Bulgaria,BGR,2020-03-08,-10.65
Bulgaria,BGR,2020-03-15,-8.44
Bulgaria,BGR,2020-03-22,-8.17
Bulgaria,BGR,2020-03-29,-5.92
Bulgaria,BGR,2020-04-05,-7.72
Bulgaria,BGR,2020-04-12,-6.63
Bulgaria,BGR,2020-04-19,-1.18
Bulgaria,BGR,2020-04-26,-2.62
Bulgaria,BGR,2020-05-03,-5.21
Bulgaria,BGR,2020-05-10,-4.93
Bulgaria,BGR,2020-05-17,6.94
Bulgaria,BGR,2020-05-24,-3.01
Bulgaria,BGR,2020-05-31,-7.05
Bulgaria,BGR,2020-06-07,1.12
Bulgaria,BGR,2020-06-14,1.81
Bulgaria,BGR,2020-06-21,-0.69
Bulgaria,BGR,2020-06-28,-1.91
Bulgaria,BGR,2020-07-05,13.73
Bulgaria,BGR,2020-07-12,6.27
Bulgaria,BGR,2020-07-19,-0.48
Bulgaria,BGR,2020-07-26,1.74
Bulgaria,BGR,2020-08-02,11.11
Bulgaria,BGR,2020-08-09,7.45
Bulgaria,BGR,2020-08-16,7.28
Bulgaria,BGR,2020-08-23,5.23
Bulgaria,BGR,2020-08-30,7.63
Bulgaria,BGR,2020-09-06,8.25
Bulgaria,BGR,2020-09-13,6.29
Bulgaria,BGR,2020-09-20,2.98
Bulgaria,BGR,2020-09-27,3.3
Bulgaria,BGR,2020-10-04,2.86
Bulgaria,BGR,2020-10-11,5.95
Bulgaria,BGR,2020-10-18,5.7
Bulgaria,BGR,2020-10-25,16.55
Bulgaria,BGR,2020-11-01,32.06
Bulgaria,BGR,2020-11-08,55.21
Bulgaria,BGR,2020-11-15,87.37
Bulgaria,BGR,2020-11-22,113.71
Bulgaria,BGR,2020-11-29,127.08
Bulgaria,BGR,2020-12-06,122.47
Bulgaria,BGR,2020-12-13,100.87
Bulgaria,BGR,2020-12-20,78.6
Bulgaria,BGR,2020-12-27,38.78
Bulgaria,BGR,2021-01-03,27.05
Bulgaria,BGR,2021-01-10,2.66
Bulgaria,BGR,2021-01-17,-2.43
Bulgaria,BGR,2021-01-24,0.81
Bulgaria,BGR,2021-01-31,-0.83
Bulgaria,BGR,2021-02-07,-1.98
Bulgaria,BGR,2021-02-14,3.59
Bulgaria,BGR,2021-02-21,9.76
Bulgaria,BGR,2021-02-28,14.4
Bulgaria,BGR,2021-03-07,22.12
Bulgaria,BGR,2021-03-14,34.54
Bulgaria,BGR,2021-03-21,55.67
Bulgaria,BGR,2021-03-28,72.3
Bulgaria,BGR,2021-04-04,90.87
Bulgaria,BGR,2021-04-11,79.62
Bulgaria,BGR,2021-04-18,82.31
Bulgaria,BGR,2021-04-25,68.31
Bulgaria,BGR,2021-05-02,54.76
Bulgaria,BGR,2021-05-09,40.83
Bulgaria,BGR,2021-05-16,27.2
Bulgaria,BGR,2021-05-23,21.41
Bulgaria,BGR,2021-05-30,11.95
Bulgaria,BGR,2021-06-06,8.73
Bulgaria,BGR,2021-06-13,8.41
Bulgaria,BGR,2021-06-20,6.27
Bulgaria,BGR,2021-06-27,18.25
Bulgaria,BGR,2021-07-04,10.54
Bulgaria,BGR,2021-07-11,12.01
Bulgaria,BGR,2021-07-18,9.11
Bulgaria,BGR,2021-07-25,4.71
Bulgaria,BGR,2021-08-01,8.06
Bulgaria,BGR,2021-08-08,15.63
Bulgaria,BGR,2021-08-15,17.42
Bulgaria,BGR,2021-08-22,13.63
Bulgaria,BGR,2021-08-29,29.72
Bulgaria,BGR,2021-09-05,38.21
Bulgaria,BGR,2021-09-12,48.35
Bulgaria,BGR,2021-09-19,61.75
Bulgaria,BGR,2021-09-26,55.13
Bulgaria,BGR,2021-10-03,59.74
Bulgaria,BGR,2021-10-10,59.66
Bulgaria,BGR,2021-10-17,73.54
Bulgaria,BGR,2021-10-24,88.77
Bulgaria,BGR,2021-10-31,99.55
Bulgaria,BGR,2021-11-07,102.21
Bulgaria,BGR,2021-11-14,96.83
Bulgaria,BGR,2021-11-21,89.76
Bulgaria,BGR,2021-11-28,77.86
Bulgaria,BGR,2021-12-05,67.76
Bulgaria,BGR,2021-12-12,55.36
Bulgaria,BGR,2021-12-19,44.37
Bulgaria,BGR,2021-12-26,40.72
Bulgaria,BGR,2022-01-02,32.35
Bulgaria,BGR,2022-01-09,24.13
Bulgaria,BGR,2022-01-16,24.41
Bulgaria,BGR,2022-01-23,31.11
Bulgaria,BGR,2022-01-30,41.25
Bulgaria,BGR,2022-02-06,50.15
Bulgaria,BGR,2022-02-13,59.94
Bulgaria,BGR,2022-02-20,53.12
Bulgaria,BGR,2022-02-27,34.96
Bulgaria,BGR,2022-03-06,20.54
Bulgaria,BGR,2022-03-13,19.32
Bulgaria,BGR,2022-03-20,12.42
Bulgaria,BGR,2022-03-27,17.38
Bulgaria,BGR,2022-04-03,13.32
Canada,CAN,2020-02-16,-6.14
Canada,CAN,2020-02-23,-6.21
Canada,CAN,2020-03-01,-3.53
Canada,CAN,2020-03-08,-3.82
Canada,CAN,2020-03-15,-3.53
Canada,CAN,2020-03-22,0.19
Canada,CAN,2020-03-29,2.17
Canada,CAN,2020-04-05,9.52
Canada,CAN,2020-04-12,16.24
Canada,CAN,2020-04-19,16.84
Canada,CAN,2020-04-26,23.57
Canada,CAN,2020-05-03,22.53
Canada,CAN,2020-05-10,16.31
Canada,CAN,2020-05-17,12.89
Canada,CAN,2020-05-24,10.21
Canada,CAN,2020-05-31,10.7
Canada,CAN,2020-06-07,5.28
Canada,CAN,2020-06-14,-1.12
Canada,CAN,2020-06-21,1.63
Canada,CAN,2020-06-28,0.91
Canada,CAN,2020-07-05,-2.11
Canada,CAN,2020-07-12,3.37
Canada,CAN,2020-07-19,2.31
Canada,CAN,2020-07-26,1.58
Canada,CAN,2020-08-02,0.87
Canada,CAN,2020-08-09,0.73
Canada,CAN,2020-08-16,4.3
Canada,CAN,2020-08-23,4.29
Canada,CAN,2020-08-30,0.4
Canada,CAN,2020-09-06,3.3
Canada,CAN,2020-09-13,1.14
Canada,CAN,2020-09-20,2.89
Canada,CAN,2020-09-27,5.88
Canada,CAN,2020-10-04,3.38
Canada,CAN,2020-10-11,4.07
Canada,CAN,2020-10-18,1.42
Canada,CAN,2020-10-25,2.0
Canada,CAN,2020-11-01,3.24
Canada,CAN,2020-11-08,10.5
Canada,CAN,2020-11-15,8.13
Canada,CAN,2020-11-22,7.51
Canada,CAN,2020-11-29,9.82
Canada,CAN,2020-12-06,12.54
Canada,CAN,2020-12-13,11.87
Canada,CAN,2020-12-20,8.31
Canada,CAN,2020-12-27,10.15
Canada,CAN,2021-01-03,12.06
Canada,CAN,2021-01-10,4.31
Canada,CAN,2021-01-17,3.39
Canada,CAN,2021-01-24,3.58
Canada,CAN,2021-01-31,3.74
Canada,CAN,2021-02-07,4.4
Canada,CAN,2021-02-14,-1.6
Canada,CAN,2021-02-21,-2.23
Canada,CAN,2021-02-28,-3.07
Canada,CAN,2021-03-07,-1.63
Canada,CAN,2021-03-14,-5.12
Canada,CAN,2021-03-21,-6.36
Canada,CAN,2021-03-28,-3.72
Canada,CAN,2021-04-04,-3.93
Canada,CAN,2021-04-11,0.08
Canada,CAN,2021-04-18,-0.32
Canada,CAN,2021-04-25,-0.16
Canada,CAN,2021-05-02,4.62
Canada,CAN,2021-05-09,2.97
Canada,CAN,2021-05-16,2.84
Canada,CAN,2021-05-23,5.25
Canada,CAN,2021-05-30,-2.27
Canada,CAN,2021-06-06,4.43
Canada,CAN,2021-06-13,-0.38
Canada,CAN,2021-06-20,1.07
Canada,CAN,2021-06-27,0.31
Canada,CAN,2021-07-04,15.1
Canada,CAN,2021-07-11,0.75
Canada,CAN,2021-07-18,1.27
Canada,CAN,2021-07-25,2.95
Canada,CAN,2021-08-01,4.78
Canada,CAN,2021-08-08,5.12
Canada,CAN,2021-08-15,3.37
Canada,CAN,2021-08-22,8.87
Canada,CAN,2021-08-29,6.59
Canada,CAN,2021-09-05,9.02
Canada,CAN,2021-09-12,13.46
Canada,CAN,2021-09-19,11.37
Canada,CAN,2021-09-26,10.71
Canada,CAN,2021-10-03,9.58
Canada,CAN,2021-10-10,6.8
Canada,CAN,2021-10-17,9.48
Canada,CAN,2021-10-24,7.84
Canada,CAN,2021-10-31,5.73
Canada,CAN,2021-11-07,7.92
Canada,CAN,2021-11-14,10.84
Canada,CAN,2021-11-21,6.62
Canada,CAN,2021-11-28,7.48
Canada,CAN,2021-12-05,8.97
Canada,CAN,2021-12-12,6.04
Canada,CAN,2021-12-19,7.42
Canada,CAN,2021-12-26,8.26
Canada,CAN,2022-01-02,6.09
Canada,CAN,2022-01-09,7.73
Canada,CAN,2022-01-16,16.68
Canada,CAN,2022-01-23,20.71
Canada,CAN,2022-01-30,18.51
Canada,CAN,2022-02-06,17.37
Canada,CAN,2022-02-13,12.34
Canada,CAN,2022-02-20,6.45
Canada,CAN,2022-02-27,2.42
Canada,CAN,2022-03-06,2.13
Canada,CAN,2022-03-13,-1.46
Canada,CAN,2022-03-20,-1.31
Canada,CAN,2022-03-27,-3.05
Canada,CAN,2022-04-03,-2.83
Croatia,HRV,2020-02-16,-2.42
Croatia,HRV,2020-02-23,-4.56
Croatia,HRV,2020-03-01,-6.85
Croatia,HRV,2020-03-08,-4.62
Croatia,HRV,2020-03-15,1.04
Croatia,HRV,2020-03-22,4.9
Croatia,HRV,2020-03-29,10.38
Croatia,HRV,2020-04-05,-1.3
Croatia,HRV,2020-04-12,2.7
Croatia,HRV,2020-04-19,3.85
Croatia,HRV,2020-04-26,-12.53
Croatia,HRV,2020-05-03,-4.16
Croatia,HRV,2020-05-10,-5.08
Croatia,HRV,2020-05-17,-1.32
Croatia,HRV,2020-05-24,-2.18
Croatia,HRV,2020-05-31,-6.6
Croatia,HRV,2020-06-07,4.68
Croatia,HRV,2020-06-14,6.45
Croatia,HRV,2020-06-21,-1.28
Croatia,HRV,2020-06-28,3.98
Croatia,HRV,2020-07-05,4.25
Croatia,HRV,2020-07-12,-1.0
Croatia,HRV,2020-07-19,-4.94
Croatia,HRV,2020-07-26,0.82
Croatia,HRV,2020-08-02,12.62
Croatia,HRV,2020-08-09,2.08
Croatia,HRV,2020-08-16,1.08
Croatia,HRV,2020-08-23,4.29
Croatia,HRV,2020-08-30,8.74
Croatia,HRV,2020-09-06,7.59
Croatia,HRV,2020-09-13,13.88
Croatia,HRV,2020-09-20,7.23
Croatia,HRV,2020-09-27,4.23
Croatia,HRV,2020-10-04,13.29
Croatia,HRV,2020-10-11,1.82
Croatia,HRV,2020-10-18,18.52
Croatia,HRV,2020-10-25,21.38
Croatia,HRV,2020-11-01,22.76
Croatia,HRV,2020-11-08,34.83
Croatia,HRV,2020-11-15,41.79
Croatia,HRV,2020-11-22,59.23
Croatia,HRV,2020-11-29,55.6
Croatia,HRV,2020-12-06,72.94
Croatia,HRV,2020-12-13,71.86
Croatia,HRV,2020-12-20,73.79
Croatia,HRV,2020-12-27,55.03
Croatia,HRV,2021-01-03,40.64
Croatia,HRV,2021-01-10,13.76
Croatia,HRV,2021-01-17,10.38
Croatia,HRV,2021-01-24,6.69
Croatia,HRV,2021-01-31,3.16
Croatia,HRV,2021-02-07,3.18
Croatia,HRV,2021-02-14,2.55
Croatia,HRV,2021-02-21,0.89
Croatia,HRV,2021-02-28,0.74
Croatia,HRV,2021-03-07,-5.06
Croatia,HRV,2021-03-14,-1.83
Croatia,HRV,2021-03-21,-4.03
Croatia,HRV,2021-03-28,10.24
Croatia,HRV,2021-04-04,21.94
Croatia,HRV,2021-04-11,25.99
Croatia,HRV,2021-04-18,33.2
Croatia,HRV,2021-04-25,41.01
Croatia,HRV,2021-05-02,36.1
Croatia,HRV,2021-05-09,32.98
Croatia,HRV,2021-05-16,36.4
Croatia,HRV,2021-05-23,21.13
Croatia,HRV,2021-05-30,14.16
Croatia,HRV,2021-06-06,26.87
Croatia,HRV,2021-06-13,15.14
Croatia,HRV,2021-06-20,12.85
Croatia,HRV,2021-06-27,24.9
Croatia,HRV,2021-07-04,11.02
Croatia,HRV,2021-07-11,8.5
Croatia,HRV,2021-07-18,7.57
Croatia,HRV,2021-07-25,-1.95
Croatia,HRV,2021-08-01,11.46
Croatia,HRV,2021-08-08,2.54
Croatia,HRV,2021-08-15,14.36
Croatia,HRV,2021-08-22,9.56
Croatia,HRV,2021-08-29,9.92
Croatia,HRV,2021-09-05,17.6
Croatia,HRV,2021-09-12,27.23
Croatia,HRV,2021-09-19,27.54
Croatia,HRV,2021-09-26,19.69
Croatia,HRV,2021-10-03,20.62
Croatia,HRV,2021-10-10,17.78
Croatia,HRV,2021-10-17,19.49
Croatia,HRV,2021-10-24,32.72
Croatia,HRV,2021-10-31,42.64
Croatia,HRV,2021-11-07,50.21
Croatia,HRV,2021-11-14,62.01
Croatia,HRV,2021-11-21,64.03
Croatia,HRV,2021-11-28,84.89
Croatia,HRV,2021-12-05,72.81
Croatia,HRV,2021-12-12,59.43
Croatia,HRV,2021-12-19,50.93
Croatia,HRV,2021-12-26,45.87
Croatia,HRV,2022-01-02,37.19
Croatia,HRV,2022-01-09,20.67
Croatia,HRV,2022-01-16,14.86
Croatia,HRV,2022-01-23,19.38
Croatia,HRV,2022-01-30,29.96
Croatia,HRV,2022-02-06,39.08
Croatia,HRV,2022-02-13,25.78
Croatia,HRV,2022-02-20,28.8
Croatia,HRV,2022-02-27,14.27
Croatia,HRV,2022-03-06,12.57
Croatia,HRV,2022-03-13,4.03
Croatia,HRV,2022-03-20,11.47
Croatia,HRV,2022-03-27,5.85
Croatia,HRV,2022-04-03,9.34
Cyprus,CYP,2020-02-16,-20.89
Cyprus,CYP,2020-02-23,6.23
Cyprus,CYP,2020-03-01,0.78
Cyprus,CYP,2020-03-08,-9.23
Cyprus,CYP,2020-03-15,0.39
Cyprus,CYP,2020-03-22,7.84
Cyprus,CYP,2020-03-29,16.71
Cyprus,CYP,2020-04-05,4.85
Cyprus,CYP,2020-04-12,-6.49
Cyprus,CYP,2020-04-19,1.41
Cyprus,CYP,2020-04-26,-5.57
Cyprus,CYP,2020-05-03,-0.25
Cyprus,CYP,2020-05-10,1.74
Cyprus,CYP,2020-05-17,35.08
Cyprus,CYP,2020-05-24,63.0
Cyprus,CYP,2020-05-31,0.28
Cyprus,CYP,2020-06-07,23.63
Cyprus,CYP,2020-06-14,-4.86
Cyprus,CYP,2020-06-21,-11.01
Cyprus,CYP,2020-06-28,-0.47
Cyprus,CYP,2020-07-05,7.65
